,Well Number,State,Formation/Reservoir, Initial Pressure Estimate (psi) , Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Yield (Bc/MMcf),Condensate Gravity (API), Dew Point Pressure (psi) ,Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , Initial GOR (scf/bbl) , Bubble Point Pressure (psi) , TVD (ft) , Spacing ,# Stages,# Clusters ,# Clusters per Stage,Pre-Refrac Completion # Stages,Pre-Refrac Completion # Clusters ,Initian Completion # Clusters per Stage,# of Total Proppant (Lbs),Total Fluid (Bbls), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) , Configuration ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path.1,Pressure Loss Correlation.1, Tubing ID (in) .1, Tubing OD (in) .1, Tubing Depth (ft) .1, Casing ID 1 (in) .1, Casing Footage 1 (ft) .1, Casing ID 2 (in) .1, Casing Footage 2 (ft) .1, Casing Depth (ft) .1, Configuration Change (Days Since First Prod) .1,Production Path.2,Pressure Loss Correlation.2, Tubing ID (in) .2, Tubing OD (in) .2, Tubing Depth (ft) .2, Casing ID 1 (in) .2, Casing Footage 1 (ft) .2, Casing ID 2 (in) .2, Casing Footage 2 (ft) .2, Casing Depth (ft) .2, Configuration Change (Days Since First Prod) .2,Production Path.3,Pressure Loss Correlation.3, Tubing ID (in) .3, Tubing OD (in) .3, Tubing Depth (ft) .3, Casing ID 1 (in) .3, Casing Footage 1 (ft) .3, Casing ID 2 (in) .3, Casing Footage 2 (ft) .3, Casing Depth (ft) .3, Configuration Change (Days Since First Prod) .3,Production Path.4,Pressure Loss Correlation.4, Tubing ID (in) .4, Tubing OD (in) .4, Tubing Depth (ft) .4, Casing ID 1 (in) .4, Casing Footage 1 (ft) .4, Casing ID 2 (in) .4, Casing Footage 2 (ft) .4, Casing Depth (ft) .4, Description 
ROOSTER,72,LA,HAYNESVILLE SHALE,10500,350,180,0.7,8.0,20.0,0.0,80.0,0.612,5.8,0.0,0.0,,30.0,10500.0,100,100,30.0,,,12668.0,1250,47,235,5.0,,,,"26,632,739","530,797",5235,13153,18388,350.0,120.0, Initial Config ,Tubing,Gray,2.992,3.5,12136.0,4.67,18551,,,18551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLS; Increase #/cl completion test 
ARCHAEOPTERYX,73,LA,HAYNESVILLE SHALE,10300,343,183,0.7,8.61,21.0,0.0,79.0,0.595,3.98,0.0,0.07,,30.0,,100,100,30.0,,,12123.47,1050,66,462,7.0,,,,"20,836,790","395,488",9856,12503,22359,343.0,234.0, Initial Config ,Casing,Gray,,,,4.67,11514,4.28,10862.0,22376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
TERN,74,LA,HAYNESVILLE SHALE,10450,329,193,0.7,8.61,21.0,0.0,79.0,0.594,3.94,0.0,0.05,,30.0,,100,100,30.0,,,12064.16,1050,66,462,7.0,,,,"20,748,830","378,185",9820,12470,22290,329.0,236.0, Initial Config ,Casing,Gray,,,,4.67,11421,4.28,10885.0,22306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
STILT,75,LA,HAYNESVILLE SHALE,10800,346,150,0.7,8.39,22.9,0.0,77.1,0.597,4.21,0.0,0.05,,30.0,,100,100,30.0,,,12545.04973,850,66,457,7.0,,,,"20,374,069","362,937",9878,12609,22487,346.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11468,4.276,11038.0,22505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
AVOCET,76,LA,HAYNESVILLE SHALE,11000,348,150,0.7,8.39,22.9,0.0,77.1,0.598,4.2,0.0,0.06,,30.0,,100,100,30.0,,,12530.46466,850,64,448,7.0,,,,"20,174,551","340,291",9525,12653,22178,355.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11576,4.276,10620.0,22196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
OSTRICH,23,PA,MARCELLUS,3486,115,102,0.7,7.0,32.97,0.13,66.9,0.57,0.0,0.0,0.0,,30.0,20000.0,100,100,30.0,591.61,20000.0,5707.639,,13,65,5.0,,,,"                          7,194,425 ",,5210,5900,11110,115.0,65.0, Initial Config ,Tubing,Gray,2.441,2.875,5172.0,4.778,11238,,,11238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; Clean data, data suggest large drainage area, located in key Tier development Area "
EMU,24,PA,MARCELLUS,5531,143,132,0.7,6.35,19.6,0.0,80.4,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8489.07,1850,41,123,3.0,,,,"                       18,404,917 ",,6098,8547,14645,143.3666,60.0, Initial Config ,Casing,Gray,,,,4.778,14664,,,14664.0,236.0,Tubing,Gray,2.44,2.875,8574.0,4.778,14664.0,,,14664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLUSTER BOUND; Modern Completion design 
DUCK,25,PA,MARCELLUS,3900,137,134,0.7,6.94,31.59,0.0,68.41,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7543.37,1650,70,210,3.0,,,,"                          31,201,810 ",,10429,8236,18665,136.9428,60.0, Initial Config ,Casing,Gray,,,,4.778,18684,,,18684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," PARENT; Modern Completion design, high IP, clean data, small portion depleted "
HERON,26,PA,MARCELLUS,3500,133,150,0.7,7.44,22.94,0.0,77.06,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7184.88,1500,31,153,4.94,,,,"                       12,051,645 ",,7404,7548,14952,133.0,80.0, Initial Config ,Casing,Gray,,,,4.778,15088,,,15088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER BOUND; co-developed, single bounded depletion "
STORK,27,PA,MARCELLUS,3000,133,150,0.7,7.49,21.03,0.0,78.97,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7124.64,1400,23,112,4.87,,,,"                          8,680,895 ",,5610,7542,13152,133.0,80.0, Initial Config ,Casing,Gray,,,,4.778,13232,,,13232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CHILD BOUND; double bounded depletion 
SWAN,28,PA,MARCELLUS,4500,134,150,0.7,7.11,31.08,0.0,68.92,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7372.0,1300,42,208,4.95,,,,"                       16,477,745 ",,10299,7398,17697,134.0,80.0, Initial Config ,Casing,Gray,,,,4.778,17821,,,17821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CHILD BOUND; co-developed, single bound depletion "
PARROT,29,PA,MARCELLUS,4750,135,148,0.7,7.08,30.93,0.0,69.07,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7367.95,1250,39,193,4.95,,,,"                       15,197,373 ",,9520,7749,17269,135.0,80.0, Initial Config ,Casing,Gray,,,,4.778,17389,,,17389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," PARENT; co-developed, no depletion "
CRANE,30,PA,MARCELLUS,5538,146,134,0.7,6.36,34.84,0.0,65.16,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8733.51,830,33,147,4.45,,,,"                                                    15,087,050 ",,7275,8910,16185,143.1292963,60.0, Initial Config ,Tubing,Gray,1.995,2.375,7804.0,4.778,16200,,,16200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east "
IBIS,31,PA,MARCELLUS,5508,146,134,0.7,6.37,34.89,0.0,65.11,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8757.909,830,33,151,4.58,,,,"                                                    13,598,370 ",,7389,8399,15788,143.2309402,60.0, Initial Config ,Tubing,Gray,1.995,2.375,8111.0,4.778,15803,,,15803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east "
EGRET,32,PA,MARCELLUS,5227,134,143,0.7,8.11,43.59,0.0,56.41,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7441.235,,14,70,5.0,,,,"                                                          8,605,550 ",,5584,7580,13164,133.74,60.0, Initial Config ,Tubing,Gray,2.441,2.875,7299.0,4.778,13274,,,13274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, unbounded; Largest CUM in Marcellus 
PHEASANT,33,PA,MARCELLUS,4450,130,142,0.7,7.86,39.28,0.0,60.72,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6721.11,1800,40,127,3.17,,,,"                                                            18,250,968 ",,5954,6747,12701,130.16,60.0, Initial Config ,Casing,Gray,,,,4.778,12831,,,12831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," SINGLE; Modern Completion design, high Ark and clean data "
MACAW,34,PA,MARCELLUS - UPPER,4609,135,164,0.7,6.52,27.0,0.0,73.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7662.86,1500,51,253,5.0,,,,"                          25,754,836 ",,9447,7748,17195,135.0,80.0, Initial Config ,Casing,Gray,,,,4.778,17331,,,17331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
FLAMINGO,35,PA,MARCELLUS - UPPER,4500,135,164,0.7,6.52,27.0,0.0,73.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7651.15,1500,47,233,5.0,,,,"                          24,374,215 ",,9218,7779,16997,135.0,80.0, Initial Config ,Casing,Gray,,,,4.778,17140,,,17140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
PEACOCK,36,PA,MARCELLUS - UPPER,3150,125,231,0.7,6.75,27.0,0.0,73.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6936.15,1500,75,373,5.0,,,,"                          38,875,334 ",,13011,6948,19959,125.0,60.0, Initial Config ,Casing,Gray,,,,4.778,20088,,,20088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
PENGUIN,37,PA,MARCELLUS - UPPER,3400,125,232,0.7,6.72,26.0,0.0,74.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6944.14,1500,52,258,5.0,,,,"                          26,695,450 ",,12940,7193,20133,125.0,60.0, Initial Config ,Casing,Gray,,,,4.778,20263,,,20263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
ALBATROSS,38,PA,MARCELLUS - UPPER,5000,126,170,0.7,6.39,38.0,0.0,62.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7698.57,,13,65,5.0,,,,"                                       6,756,861 ",,2268,7781,10049,126.0,65.0, Initial Config ,Tubing,Gray,1.995,2.375,7839.0,4.778,10136,,,10136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Unbounded 
PELICAN,39,PA,MARCELLUS - UPPER,2500,136,245,0.7,5.31,40.0,0.0,60.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7599.22,1200,26,130,5.0,,,,"                          13,662,881 ",,6415,7794,14209,136.0,60.0, Initial Config ,Casing,Gray,,,,4.778,14226,,,14226.0,421.0,Tubing,Gray,1.995,2.375,7656.9,4.778,14226.0,,,14226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1200' innerwell unbounded exterior 
OWL,40,PA,MARCELLUS - UPPER,2200,136,246,0.7,5.29,39.0,0.0,61.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7588.21,1200,27,135,5.0,,,,"                          14,163,366 ",,6701,7786,14487,136.0,60.0, Initial Config ,Casing,Gray,,,,4.778,14504,,,14504.0,424.0,Tubing,Gray,1.995,2.375,7868.2,4.778,14504.0,,,14504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1200' innerwell unbounded exterior 
FINCH,41,PA,MARCELLUS - UPPER,4300,133,177,0.7,7.23,41.29,0.0,58.71,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7635.03,1700,44,222,5.0,,,,"                                             20,508,723 ",,5644,7674,13318,133.04,80.0, Initial Config ,Tubing,Gray,2.441,2.875,7381.5,4.778,13419,,,13419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1700' 
ROBIN,42,PA,MARCELLUS - UPPER,4100,133,177,0.7,7.23,41.28,0.0,58.72,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7555.8,1700,30,141,5.0,,,,"                                             14,092,650 ",,4956,7544,12500,133.001,80.0, Initial Config ,Tubing,Gray,2.441,2.875,7357.9,4.778,12649,,,12649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1700' 
BLUEBIRD,43,PA,MARCELLUS - UPPER,4200,125,241,0.7,6.03,35.0,0.0,65.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7503.32,1500,49,196,4.0,,,,"                                                20,540,377 ",,6818,7319,14137,133.0,80.0, Initial Config ,Casing,Gray,,,,4.778,14174,,,14174.0,381.0,Tubing,Gray,2.441,2.875,7603.86,4.778,14174.0,,,14174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
CANARY,44,PA,MARCELLUS - UPPER,4300,133,241,0.7,6.03,35.0,0.0,65.0,0.57,0.02,0.0,0.24,,30.0,,100,100,30.0,,,7521.98,1500,46,185,4.0,,,,"                                                        25,367,923 ",,6607,7869,14476,133.0,80.0, Initial Config ,Casing,Gray,,,,4.778,14491,,,14491.0,381.0,Tubing,Gray,2.441,2.875,6724.5,4.778,14491.0,,,14491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
SEAGULL,45,PA,MARCELLUS - UPPER,4400,136,230,0.7,5.99,43.0,0.0,57.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7305.07,1300,61,303,5.0,,,,"                          31,532,947 ",,10667,7410,18077,135.0,80.0, Initial Config ,Casing,Gray,,,,4.778,18211,,,18211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1300' innerwell unbounded exterior 
HUMMINGBIRD,46,PA,MARCELLUS - UPPER,4000,136,230,0.7,5.99,43.0,0.0,57.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7284.64,1300,41,203,5.0,,,,"                          21,395,323 ",,10214,7499,17713,135.0,80.0, Initial Config ,Casing,Gray,,,,4.778,17841,,,17841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1300' innerwell unbounded exterior 
PHOENIX,47,PA,MARCELLUS - UPPER,4450,137,232,0.7,5.87,47.0,0.0,53.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7190.42,900,29,141,5.0,,,,"                             14,860,164 ",,6942,7381,14323,136.0,80.0, Initial Config ,Casing,Gray,,,,4.778,14450,,,14450.0,306.0,Tubing,Gray,2.323,2.875,7571.3,4.778,14450.0,,,14450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 900' innerwell unbounded exterior 
TOUCAN,48,PA,MARCELLUS - UPPER,3900,137,232,0.7,5.87,47.0,0.0,53.0,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7204.55,900,28,138,5.0,,,,"                             11,178,400 ",,6712,7308,14020,136.0,80.0, Initial Config ,Casing,Gray,,,,4.778,14155,,,14155.0,305.0,Tubing,Gray,2.323,2.875,7552.61,4.778,14155.0,,,14155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 900' innerwell unbounded exterior 
GOOSE,49,PA,MARCELLUS - UPPER,5200,134,223,0.7,6.17,40.22,0.0,59.78,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7309.8,,7,49,7.0,,,,"                             5,079,200 ",,4787,7550,12337,133.611,60.0, Initial Config ,Tubing,Gray,1.995,2.375,7699.0,4.778,12442,,,12442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Unbounded 
